L2,5,400,150,0.001,0.85,0.8562,0.8465
L2,8,200,50,0.0005,0.9,0.8496,0.85
L2,8,200,50,0.0005,0.95,0.8526,0.8486
L2,9,600,100,0.0005,0.85,0.8478,0.8376
L2,6,600,150,0.005,0.9,0.8786,0.8779
L2,6,200,100,0.0005,0.9,0.8472,0.8512
L2,6,600,200,0.01,0.95,0.8778,0.8747
L2,10,600,100,0.005,0.9,0.8504,0.8518
L2,7,400,50,0.005,0.85,0.8754,0.8728
L2,5,200,50,0.01,0.95,0.8486,0.8555
L2,10,600,200,0.0005,0.95,0.8604,0.8598
L2,7,400,50,0.0005,0.9,0.8572,0.8587
L2,10,400,50,0.0005,0.9,0.8402,0.8407
L2,9,200,150,0.005,0.85,0.8394,0.8305
L2,9,200,200,0.01,0.95,0.8328,0.8282
L2,5,200,50,0.001,0.95,0.8536,0.8449
L2,8,600,50,0.001,0.85,0.8648,0.8557
L2,10,200,150,0.001,0.85,0.8546,0.8453
L2,6,200,50,0.0005,0.95,0.861,0.8508
L2,10,600,200,0.0005,0.9,0.864,0.8618
L2,8,400,100,0.005,0.9,0.8636,0.8619
L2,6,200,150,0.0005,0.85,0.8642,0.8687
L2,6,600,200,0.005,0.9,0.8686,0.8629
L2,5,200,100,0.005,0.9,0.8618,0.859
L2,9,600,150,0.005,0.95,0.8588,0.8405
L2,9,400,100,0.01,0.9,0.8602,0.8609
L2,6,400,150,0.005,0.85,0.8502,0.8252
L2,5,400,100,0.0005,0.85,0.8768,0.8773
L2,10,600,50,0.01,0.95,0.8526,0.8504
L2,9,400,200,0.005,0.9,0.8698,0.8645
L2,5,400,150,0.005,0.85,0.8534,0.8523
L2,9,600,200,0.0005,0.95,0.8588,0.8591
L2,6,400,150,0.005,0.9,0.8656,0.8669
L2,7,400,200,0.0005,0.85,0.8738,0.8761
L2,6,400,100,0.01,0.95,0.8502,0.8443
L2,5,400,50,0.01,0.95,0.8662,0.8661
